x     sin(1 x)
0     0
0.349065850398866     0.342020143325669
0.698131700797732     0.642787609686539
1.0471975511966     0.866025403784439
1.39626340159546     0.984807753012208
1.74532925199433     0.984807753012208
2.0943951023932     0.866025403784439
2.44346095279206     0.642787609686539
2.79252680319093     0.342020143325669
3.14159265358979     1.22464679914735E-16
3.49065850398866     -0.342020143325669
3.83972435438753     -0.642787609686539
4.18879020478639     -0.866025403784438
4.53785605518526     -0.984807753012208
4.88692190558412     -0.984807753012208
5.23598775598299     -0.866025403784439
5.58505360638185     -0.642787609686541
5.93411945678072     -0.342020143325671
6.28318530717958     -2.90946461892985E-15
x     sin(2 x)
0     0
0.349065850398866     0.642787609686539
0.698131700797732     0.984807753012208
1.0471975511966     0.866025403784439
1.39626340159546     0.342020143325669
1.74532925199433     -0.342020143325669
2.0943951023932     -0.866025403784438
2.44346095279206     -0.984807753012208
2.79252680319093     -0.64278760968654
3.14159265358979     -2.44929359829471E-16
3.49065850398866     0.642787609686539
3.83972435438753     0.984807753012208
4.18879020478639     0.866025403784439
4.53785605518526     0.34202014332567
4.88692190558412     -0.342020143325666
5.23598775598299     -0.866025403784437
5.58505360638185     -0.984807753012209
5.93411945678072     -0.642787609686543
6.28318530717958     -5.81892923785969E-15
x     sin(3 x)
0     0
0.349065850398866     0.866025403784439
0.698131700797732     0.866025403784439
1.0471975511966     1.22464679914735E-16
1.39626340159546     -0.866025403784438
1.74532925199433     -0.866025403784439
2.0943951023932     -2.44929359829471E-16
2.44346095279206     0.866025403784438
2.79252680319093     0.866025403784439
3.14159265358979     3.67394039744206E-16
3.49065850398866     -0.866025403784439
3.83972435438753     -0.866025403784438
4.18879020478639     -4.89858719658941E-16
4.53785605518526     0.866025403784438
4.88692190558412     0.86602540378444
5.23598775598299     4.16503707837418E-15
5.58505360638185     -0.866025403784436
5.93411945678072     -0.866025403784442
6.28318530717958     -7.84021543708941E-15
